id,text,category,style
1,"Спасибо за быструю доставку и качественный товар!","отзыв","Позитивный"
2,"Товар пришёл с повреждениями. Разочарован.","жалоба","Негативный"
3,"Заказал вчера, сегодня уже получил.","отзыв","Нейтральный"
4,"Не могу дозвониться в поддержку уже неделю.","обращение","Негативный"
5,"Инструкция на упаковке не соответствует содержимому.","жалоба","Негативный"
6,"Всё работает как описано. Рекомендую.","отзыв","Позитивный"
7,"Прошу уточнить сроки возврата денежных средств.","обращение","Нейтральный"
8,"Ужасный сервис. Больше не куплю.","жалоба","Негативный"
9,"Товар соответствует описанию.","отзыв","Нейтральный"
10,"Нужна консультация по гарантии.","обращение","Нейтральный"
11,"Отличный товар! Уже третий раз покупаю.","отзыв","Позитивный"
12,"Заказ задержали на 10 дней без объяснений.","жалоба","Негативный"
13,"Доставка вовремя, упаковка целая.","отзыв","Нейтральный"
14,"Как подключить услугу «Антиопределитель»?","обращение","Нейтральный"
15,"На сайте цена одна, в чеке — другая.","жалоба","Негативный"
16,"Спасибо менеджеру Анне за помощь!","отзыв","Позитивный"
17,"Посылка потеряна. Ответа от службы поддержки нет.","жалоба","Негативный"
18,"Курьер вежливый, привёз вовремя.","отзыв","Позитивный"
19,"Где посмотреть историю заказов?","обращение","Нейтральный"
20,"Товар оказался не того цвета, что на фото.","жалоба","Негативный"
21,"Хорошее соотношение цена/качество.","отзыв","Позитивный"
22,"Счёт пришёл с ошибкой в ФИО.","жалоба","Негативный"
23,"Заказ обработан быстро, всё чётко.","отзыв","Нейтральный"
24,"Можно ли оплатить заказ при получении?","обращение","Нейтральный"
25,"В приложении не работает кнопка «Оплатить».","жалоба","Негативный"
26,"Спасибо за подарок к заказу!","отзыв","Позитивный"
27,"Срок годности на товаре истёк.","жалоба","Негативный"
28,"Товар упакован аккуратно, без повреждений.","отзыв","Нейтральный"
29,"Как отключить автопродление подписки?","обращение","Нейтральный"
30,"Оператор грубо ответил на звонок.","жалоба","Негативный"
31,"Быстро, удобно, без лишних вопросов.","отзыв","Позитивный"
32,"Возврат средств занял 21 день.","жалоба","Негативный"
33,"Товар соответствует ожиданиям.","отзыв","Нейтральный"
34,"Где найти договор оферты?","обращение","Нейтральный"
35,"На сайте не обновляется статус заказа.","жалоба","Негативный"
36,"Радует качество сборки.","отзыв","Позитивный"
37,"В посылке не хватает одного товара.","жалоба","Негативный"
38,"Доставка в выходной день — большой плюс.","отзыв","Позитивный"
39,"Можно ли изменить адрес доставки после оплаты?","обращение","Нейтральный"
40,"Счёт за услугу выставлен дважды.","жалоба","Негативный"
41,"Всё понравилось! Буду заказывать ещё.","отзыв","Позитивный"
42,"Техподдержка не отвечает на email.","жалоба","Негативный"
43,"Заказ пришёл в указанные сроки.","отзыв","Нейтральный"
44,"Как подключить двухфакторную аутентификацию?","обращение","Нейтральный"
45,"Товар бракованный — люфтит крепление.","жалоба","Негативный"
46,"Спасибо за оперативное решение вопроса!","отзыв","Позитивный"
47,"В личном кабинете отображается неверный баланс.","жалоба","Негативный"
48,"Качество на уровне, за такие деньги — отлично.","отзыв","Позитивный"
49,"Где скачать мобильное приложение?","обращение","Нейтральный"
50,"Курьер бросил посылку в почтовый ящик без звонка.","жалоба","Негативный"
51,"Удобная упаковка, ничего не рассыпалось.","отзыв","Нейтральный"
52,"Срок доставки превышен на 5 дней.","жалоба","Негативный"
53,"Товар оправдал ожидания.","отзыв","Нейтральный"
54,"Как оформить возврат товара?","обращение","Нейтральный"
55,"Цена в акции не применилась автоматически.","жалоба","Негативный"
56,"Отличный продавец, всё объяснил.","отзыв","Позитивный"
57,"Не пришло уведомление о готовности заказа.","жалоба","Негативный"
58,"Быстрая отправка, всё чётко.","отзыв","Позитивный"
59,"Можно ли получить чек в электронном виде?","обращение","Нейтральный"
60,"Обещали подарок — не положили.","жалоба","Негативный"
61,"Спасибо за честность и прозрачность!","отзыв","Позитивный"
62,"В приложении зависает экран оплаты.","жалоба","Негативный"
63,"Товар новый, в заводской упаковке.","отзыв","Нейтральный"
64,"Как узнать статус обращения в техподдержку?","обращение","Нейтральный"
65,"На чеке нет наименования организации.","жалоба","Негативный"
66,"Рекомендую этот товар друзьям.","отзыв","Позитивный"
67,"Доставка опоздала на два дня без уведомления.","жалоба","Негативный"
68,"Всё работает стабильно, нареканий нет.","отзыв","Нейтральный"
69,"Где найти инструкцию по настройке?","обращение","Нейтральный"
70,"Товар не соответствует описанию на сайте.","жалоба","Негативный"
71,"Приятно удивлён качеством.","отзыв","Позитивный"
72,"В личном кабинете дважды списали деньги.","жалоба","Негативный"
73,"Доставка в срок, курьер вежливый.","отзыв","Позитивный"
74,"Можно ли оплатить банковской картой через сайт?","обращение","Нейтральный"
75,"Обещанная скидка 10% не применилась.","жалоба","Негативный"
76,"Спасибо за заботу о клиентах!","отзыв","Позитивный"
77,"Посылка пришла вскрытой.","жалоба","Негативный"
78,"Товар удобный в использовании.","отзыв","Позитивный"
79,"Как изменить тарифный план?","обращение","Нейтральный"
80,"Оператор не смог решить вопрос, перекладывал.","жалоба","Негативный"
81,"Хорошее решение за свои деньги.","отзыв","Позитивный"
82,"Не пришёл код подтверждения по SMS.","жалоба","Негативный"
83,"Заказ собран аккуратно, без ошибок.","отзыв","Нейтральный"
84,"Где посмотреть условия доставки?","обращение","Нейтральный"
85,"Товар повреждён при транспортировке.","жалоба","Негативный"
86,"Спасибо за оперативную доставку!","отзыв","Позитивный"
